id,Model,ProductCode,PlannedQty,OTSTargeDate
2459,FYG41,NB12,300,2020/11/2
2460,FYG41,NB12,195,2020/11/2
2461,FYG50,NB12,300,2020/11/2
2462,FYG50,NB12,300,2020/11/2
2463,FYG50,NB12,75,2020/11/2
2464,FYG41,NB12,300,2020/11/2
2465,GS452,NB12,300,2020/11/2
2466,HC150,NB12,100,2020/11/2
2467,GP540,NB01,1,2020/11/4
2468,GT4A1,NB01,18,2020/10/12
2469,FYG40,NB01,1,2020/11/3
2470,GY55D,NB12,1,2020/11/3
2471,FYG40,NB01,2,2020/11/3
2472,GX4A0,NB01,1,2020/11/3
2473,GY55D,NB12,1,2020/11/3
2474,FP531,NB01,4,2020/11/3
2475,FP531,NB01,1,2020/11/3
2476,FP531,NB01,5,2020/11/3
2477,GP540,NB01,1,2020/11/3
